,ROI,Mean_CV
0,Brain-Stem,0.008872941573018793
1,CSF,0.017706973871274814
2,Left-Accumbens-area,0.0263482697291487
3,Left-Amygdala,0.028636862985681483
4,Left-Caudate,0.007308268127331286
5,Left-Cerebellum-Cortex,0.005628245927816315
6,Left-Cerebellum-White-Matter,0.020216580789464773
7,Left-Cerebral-White-Matter,0.003653411432574796
8,Left-Hippocampus,0.010113447990127405
9,Left-Inf-Lat-Vent,0.03738218275262346
10,Left-Lateral-Ventricle,0.005779598973895335
11,Left-Pallidum,0.015048585393870094
12,Left-Putamen,0.00902600655785828
13,Left-Thalamus,0.007761522600680191
14,Left-VentralDC,0.013186848112793397
15,Left-choroid-plexus,0.03139300477972191
16,Right-Accumbens-area,0.02435878407355067
17,Right-Amygdala,0.02870043499809279
18,Right-Caudate,0.00744440606563171
19,Right-Cerebellum-Cortex,0.005962758847258553
20,Right-Cerebellum-White-Matter,0.022045320718887724
21,Right-Cerebral-White-Matter,0.003683149589826228
22,Right-Hippocampus,0.010679477753569883
23,Right-Inf-Lat-Vent,0.03437502954252562
24,Right-Lateral-Ventricle,0.006222163763208448
25,Right-Pallidum,0.01522064153691493
26,Right-Putamen,0.00965624418641675
27,Right-Thalamus,0.007874172841131614
28,Right-VentralDC,0.013154950546613307
29,Right-choroid-plexus,0.028306413866406074
30,Unknown,0.00026291084154123583
31,WM-hypointensities,0.03789876629639201
32,ctx-lh-caudalanteriorcingulate,0.016955097068973548
33,ctx-lh-caudalmiddlefrontal,0.012038502430737062
34,ctx-lh-cuneus,0.015447544307222054
35,ctx-lh-entorhinal,0.047019625538282685
36,ctx-lh-fusiform,0.01979516087292074
37,ctx-lh-inferiorparietal,0.013926724477642335
38,ctx-lh-inferiortemporal,0.017105759672714785
39,ctx-lh-insula,0.011344485393949845
40,ctx-lh-isthmuscingulate,0.014615651002399536
41,ctx-lh-lateraloccipital,0.014862844005812543
42,ctx-lh-lateralorbitofrontal,0.017513415933337714
43,ctx-lh-lingual,0.017549676239480366
44,ctx-lh-medialorbitofrontal,0.01700935401629009
45,ctx-lh-middletemporal,0.012885685002287896
46,ctx-lh-paracentral,0.01305401153228661
47,ctx-lh-parahippocampal,0.030445675865496402
48,ctx-lh-parsopercularis,0.012917995496968794
49,ctx-lh-parsorbitalis,0.019546150758421737
50,ctx-lh-parstriangularis,0.013971258010797861
51,ctx-lh-pericalcarine,0.03011094081869178
52,ctx-lh-postcentral,0.011219543510159516
53,ctx-lh-posteriorcingulate,0.014586791951938672
54,ctx-lh-precentral,0.009888557381870007
55,ctx-lh-precuneus,0.01205662947423321
56,ctx-lh-rostralanteriorcingulate,0.019964067745197503
57,ctx-lh-rostralmiddlefrontal,0.012053940776682046
58,ctx-lh-superiorfrontal,0.007785807057785864
59,ctx-lh-superiorparietal,0.011492427087552574
60,ctx-lh-superiortemporal,0.01089221692147102
61,ctx-lh-supramarginal,0.010793409164068537
62,ctx-lh-transversetemporal,0.019380106075819522
63,ctx-rh-caudalanteriorcingulate,0.017990936800523636
64,ctx-rh-caudalmiddlefrontal,0.014278028296653613
65,ctx-rh-cuneus,0.0166423920868881
66,ctx-rh-entorhinal,0.051634658120184966
67,ctx-rh-fusiform,0.02157062171664478
68,ctx-rh-inferiorparietal,0.013449114854627842
69,ctx-rh-inferiortemporal,0.01889711635682181
70,ctx-rh-insula,0.01170996363955177
71,ctx-rh-isthmuscingulate,0.01529654786261699
72,ctx-rh-lateraloccipital,0.013738593332308398
73,ctx-rh-lateralorbitofrontal,0.015768876679317527
74,ctx-rh-lingual,0.01511123228133429
75,ctx-rh-medialorbitofrontal,0.015667223540912077
76,ctx-rh-middletemporal,0.01209871089157815
77,ctx-rh-paracentral,0.01373944268800828
78,ctx-rh-parahippocampal,0.030916818115504025
79,ctx-rh-parsopercularis,0.014753719985693574
80,ctx-rh-parsorbitalis,0.020454260284590922
81,ctx-rh-parstriangularis,0.015202170836110735
82,ctx-rh-pericalcarine,0.02482446741033208
83,ctx-rh-postcentral,0.010709790838050138
84,ctx-rh-posteriorcingulate,0.014336387966574429
85,ctx-rh-precentral,0.010727696784419307
86,ctx-rh-precuneus,0.010935108800208941
87,ctx-rh-rostralanteriorcingulate,0.02358919597113652
88,ctx-rh-rostralmiddlefrontal,0.012400203696798697
89,ctx-rh-superiorfrontal,0.008141369120166985
90,ctx-rh-superiorparietal,0.01218557562196938
91,ctx-rh-superiortemporal,0.011698065700773825
92,ctx-rh-supramarginal,0.011453532124320785
93,ctx-rh-transversetemporal,0.02311293919500716
94,rd-Ventricle,0.017071313842667128
95,th-Ventricle,0.022393769921969803
