,Subject_ID,ROI,mean,var,std,CV
0,0027152_session_1,Accumbens-area,923.6989858746529,,,
1,0027152_session_1,Amygdala,3257.127950191498,,,
2,0027152_session_1,Brain-Stem,16019.128755033016,,,
3,0027152_session_1,CSF,1063.9859837293625,,,
4,0027152_session_1,Caudate,7150.863890647888,,,
5,0027152_session_1,Cerebellum,125673.14007818699,,,
6,0027152_session_1,Cingulate,25189.576614797115,,,
7,0027152_session_1,Combined-Cerebral-WM,395247.46895581484,,,
8,0027152_session_1,Frontal,178794.92126584053,,,
9,0027152_session_1,Hippocampus,7744.596881568432,,,
10,0027152_session_1,Insula,11066.89483076334,,,
11,0027152_session_1,Occipital,49107.309249043465,,,
12,0027152_session_1,Pallidum,1885.1279711723328,847.0727740928652,29.104514668567575,0.015439012689662608
13,0027152_session_1,Parietal,121134.90714758635,,,
14,0027152_session_1,Putamen,9932.25084811449,,,
15,0027152_session_1,Temporal,116948.59221160412,,,
16,0027152_session_1,Thalamus,15609.586761295795,,,
17,0027152_session_1,Total-Lateral-Ventricle,10828.166834414005,,,
18,0027152_session_1,VentralDC,7459.2208859324455,,,
19,0027152_session_1,rd-Ventricle,1043.405984044075,,,
20,0027152_session_1,th-Ventricle,1735.236973464489,,,
21,0027152_session_2,Accumbens-area,923.6989858746529,,,
22,0027152_session_2,Amygdala,3257.127950191498,,,
23,0027152_session_2,Brain-Stem,16019.128755033016,,,
24,0027152_session_2,CSF,1063.9859837293625,,,
25,0027152_session_2,Caudate,7150.863890647888,,,
26,0027152_session_2,Cerebellum,125673.14007818699,,,
27,0027152_session_2,Cingulate,25189.576614797115,,,
28,0027152_session_2,Combined-Cerebral-WM,395247.46895581484,,,
29,0027152_session_2,Frontal,178794.92126584053,,,
30,0027152_session_2,Hippocampus,7744.596881568432,,,
31,0027152_session_2,Insula,11066.89483076334,,,
32,0027152_session_2,Occipital,49107.309249043465,,,
33,0027152_session_2,Pallidum,1885.1279711723328,847.0727740928652,29.104514668567575,0.015439012689662608
34,0027152_session_2,Parietal,121134.90714758635,,,
35,0027152_session_2,Putamen,9932.25084811449,,,
36,0027152_session_2,Temporal,116948.59221160412,,,
37,0027152_session_2,Thalamus,15609.586761295795,,,
38,0027152_session_2,Total-Lateral-Ventricle,10828.166834414005,,,
39,0027152_session_2,VentralDC,7459.2208859324455,,,
40,0027152_session_2,rd-Ventricle,1043.405984044075,,,
41,0027152_session_2,th-Ventricle,1735.236973464489,,,
42,0027154_session_1,Accumbens-area,1056.439983844757,,,
43,0027154_session_1,Amygdala,3975.3699392080307,,,
44,0027154_session_1,Brain-Stem,17531.758731901646,,,
45,0027154_session_1,CSF,1173.402982056141,,,
46,0027154_session_1,Caudate,8147.621875405312,,,
47,0027154_session_1,Cerebellum,143576.02480441332,,,
48,0027154_session_1,Cingulate,24438.063626289368,,,
49,0027154_session_1,Combined-Cerebral-WM,455094.1080406308,,,
50,0027154_session_1,Frontal,196434.38199609518,,,
51,0027154_session_1,Hippocampus,8553.733869194984,,,
52,0027154_session_1,Insula,13032.284800708294,,,
53,0027154_session_1,Occipital,58510.99710524082,,,
54,0027154_session_1,Pallidum,2166.902466863394,4981.317332149855,70.57844807127637,0.03257112359719594
55,0027154_session_1,Parietal,129797.71501511335,,,
56,0027154_session_1,Putamen,11802.629819512367,,,
57,0027154_session_1,Temporal,132194.59897845984,,,
58,0027154_session_1,Thalamus,16834.439742565155,,,
59,0027154_session_1,Total-Lateral-Ventricle,17332.132734954357,,,
60,0027154_session_1,VentralDC,8177.119874954224,,,
61,0027154_session_1,rd-Ventricle,1174.0889820456505,,,
62,0027154_session_1,th-Ventricle,1893.7029710412025,,,
63,0027154_session_2,Accumbens-area,1077.0199835300446,,,
64,0027154_session_2,Amygdala,4050.829938054085,,,
65,0027154_session_2,Brain-Stem,17712.51972913742,,,
66,0027154_session_2,CSF,1167.9149821400642,,,
67,0027154_session_2,Caudate,8188.095874786377,,,
68,0027154_session_2,Cerebellum,143673.09380292892,,,
69,0027154_session_2,Cingulate,24622.25462347269,,,
70,0027154_session_2,Combined-Cerebral-WM,453512.5350648165,,,
71,0027154_session_2,Frontal,196110.59000104666,,,
72,0027154_session_2,Hippocampus,8579.458868801594,,,
73,0027154_session_2,Insula,13117.691799402237,,,
74,0027154_session_2,Occipital,59262.853093743324,,,
75,0027154_session_2,Pallidum,2192.4559664726257,6641.050548888063,81.49264107198921,0.037169567972259066
76,0027154_session_2,Parietal,130093.03801059723,,,
77,0027154_session_2,Putamen,11778.619819879532,,,
78,0027154_session_2,Temporal,131621.44598722458,,,
79,0027154_session_2,Thalamus,16861.87974214554,,,
80,0027154_session_2,Total-Lateral-Ventricle,17381.867734193802,,,
81,0027154_session_2,VentralDC,8157.225875258446,,,
82,0027154_session_2,rd-Ventricle,1179.2339819669724,,,
83,0027154_session_2,th-Ventricle,1946.1819702386856,,,
84,0027156_session_1,Accumbens-area,1113.3779829740524,,,
85,0027156_session_1,Amygdala,3547.991945743561,,,
86,0027156_session_1,Brain-Stem,19543.79670113325,,,
87,0027156_session_1,CSF,965.5449852347374,,,
88,0027156_session_1,Caudate,8304.029873013496,,,
89,0027156_session_1,Cerebellum,139402.40086823702,,,
90,0027156_session_1,Cingulate,26188.392599523067,,,
91,0027156_session_1,Combined-Cerebral-WM,407469.93076890707,,,
92,0027156_session_1,Frontal,172778.7013578415,,,
93,0027156_session_1,Hippocampus,9276.777858138084,,,
94,0027156_session_1,Insula,12806.590804159641,,,
95,0027156_session_1,Occipital,50751.30822390318,,,
96,0027156_session_1,Pallidum,2271.1744652688503,1524.7898178653581,39.04855718032816,0.017193112100133526
97,0027156_session_1,Parietal,125428.58108192682,,,
98,0027156_session_1,Putamen,11032.251831293106,,,
99,0027156_session_1,Temporal,118558.97718697786,,,
100,0027156_session_1,Thalamus,16176.90875262022,,,
101,0027156_session_1,Total-Lateral-Ventricle,6828.10089558363,,,
102,0027156_session_1,VentralDC,8113.3218759298325,,,
103,0027156_session_1,rd-Ventricle,762.8319883346558,,,
104,0027156_session_1,th-Ventricle,2509.7309616208076,,,
105,0027156_session_2,Accumbens-area,1104.116983115673,,,
106,0027156_session_2,Amygdala,3648.14794421196,,,
107,0027156_session_2,Brain-Stem,19288.94770503044,,,
108,0027156_session_2,CSF,916.4959859848022,,,
109,0027156_session_2,Caudate,8344.160872399807,,,
110,0027156_session_2,Cerebellum,139230.2148708701,,,
