,Subject_ID,ROI,mean,var,std,CV
0,0027152_session_1,Accumbens-area,953.8829854130745,,,
1,0027152_session_1,Amygdala,3268.103950023651,,,
2,0027152_session_1,Brain-Stem,16020.15775501728,,,
3,0027152_session_1,CSF,1121.6099828481674,,,
4,0027152_session_1,Caudate,7157.037890553474,,,
5,0027152_session_1,Cerebellum,125352.0920830965,,,
6,0027152_session_1,Cingulate,24806.78862065077,,,
7,0027152_session_1,Combined-Cerebral-WM,392027.0420050621,,,
8,0027152_session_1,Frontal,175209.5423206687,,,
9,0027152_session_1,Hippocampus,7844.066880047321,,,
10,0027152_session_1,Insula,10887.16283351183,,,
11,0027152_session_1,Occipital,47762.74926960468,,,
12,0027152_session_1,Pallidum,1879.125471264124,4068.8317160575966,63.7873946486106,0.03394525571818235
13,0027152_session_1,Parietal,117976.22019588947,,,
14,0027152_session_1,Putamen,10128.789845108986,,,
15,0027152_session_1,Temporal,113283.29426765442,,,
16,0027152_session_1,Thalamus,15584.89076167345,,,
17,0027152_session_1,Total-Lateral-Ventricle,10804.84283477068,,,
18,0027152_session_1,VentralDC,7470.882885754108,,,
19,0027152_session_1,rd-Ventricle,1038.603984117508,,,
20,0027152_session_1,th-Ventricle,1722.8889736533165,,,
21,0027152_session_2,Accumbens-area,953.8829854130745,,,
22,0027152_session_2,Amygdala,3268.103950023651,,,
23,0027152_session_2,Brain-Stem,16020.15775501728,,,
24,0027152_session_2,CSF,1121.6099828481674,,,
25,0027152_session_2,Caudate,7157.037890553474,,,
26,0027152_session_2,Cerebellum,125352.0920830965,,,
27,0027152_session_2,Cingulate,24806.78862065077,,,
28,0027152_session_2,Combined-Cerebral-WM,392027.0420050621,,,
29,0027152_session_2,Frontal,175209.5423206687,,,
30,0027152_session_2,Hippocampus,7844.066880047321,,,
31,0027152_session_2,Insula,10887.16283351183,,,
32,0027152_session_2,Occipital,47762.74926960468,,,
33,0027152_session_2,Pallidum,1879.125471264124,4068.8317160575966,63.7873946486106,0.03394525571818235
34,0027152_session_2,Parietal,117976.22019588947,,,
35,0027152_session_2,Putamen,10128.789845108986,,,
36,0027152_session_2,Temporal,113283.29426765442,,,
37,0027152_session_2,Thalamus,15584.89076167345,,,
38,0027152_session_2,Total-Lateral-Ventricle,10804.84283477068,,,
39,0027152_session_2,VentralDC,7470.882885754108,,,
40,0027152_session_2,rd-Ventricle,1038.603984117508,,,
41,0027152_session_2,th-Ventricle,1722.8889736533165,,,
42,0027154_session_1,Accumbens-area,1102.0589831471443,,,
43,0027154_session_1,Amygdala,3976.74193918705,,,
44,0027154_session_1,Brain-Stem,17631.914730370045,,,
45,0027154_session_1,CSF,1210.4469814896584,,,
46,0027154_session_1,Caudate,8168.544875085354,,,
47,0027154_session_1,Cerebellum,143409.66980695724,,,
48,0027154_session_1,Cingulate,23982.21663326025,,,
49,0027154_session_1,Combined-Cerebral-WM,453451.8240657449,,,
50,0027154_session_1,Frontal,191553.4920707345,,,
51,0027154_session_1,Hippocampus,8681.672867238522,,,
52,0027154_session_1,Insula,12855.296803414822,,,
53,0027154_session_1,Occipital,56120.973141789436,,,
54,0027154_session_1,Pallidum,2164.329966902733,2306.1556274678255,48.0224492031365,0.022188136715520827
55,0027154_session_1,Parietal,125938.27907413244,,,
56,0027154_session_1,Putamen,11979.960816800594,,,
57,0027154_session_1,Temporal,128210.99703937769,,,
58,0027154_session_1,Thalamus,16813.859742879868,,,
59,0027154_session_1,Total-Lateral-Ventricle,17231.976736485958,,,
60,0027154_session_1,VentralDC,8170.945875048637,,,
61,0027154_session_1,rd-Ventricle,1168.9439821243286,,,
62,0027154_session_1,th-Ventricle,1875.1809713244438,,,
63,0027154_session_2,Accumbens-area,1105.831983089447,,,
64,0027154_session_2,Amygdala,4069.3519377708435,,,
65,0027154_session_2,Brain-Stem,17723.15272897482,,,
66,0027154_session_2,CSF,1227.9399812221527,,,
67,0027154_session_2,Caudate,8208.675874471664,,,
68,0027154_session_2,Cerebellum,143340.04080802202,,,
69,0027154_session_2,Cingulate,24238.43762934208,,,
70,0027154_session_2,Combined-Cerebral-WM,451359.8670977354,,,
71,0027154_session_2,Frontal,191677.31506884098,,,
72,0027154_session_2,Hippocampus,8700.19486695528,,,
73,0027154_session_2,Insula,12957.167801856995,,,
74,0027154_session_2,Occipital,57105.38312673569,,,
75,0027154_session_2,Pallidum,2178.3929666876793,3388.2910963714608,58.20902933713515,0.026721087621598395
76,0027154_session_2,Parietal,126486.3930657506,,,
77,0027154_session_2,Putamen,11992.994816601276,,,
78,0027154_session_2,Temporal,127714.33304697275,,,
79,0027154_session_2,Thalamus,16798.424743115902,,,
80,0027154_session_2,Total-Lateral-Ventricle,17300.91973543167,,,
81,0027154_session_2,VentralDC,8173.003875017166,,,
82,0027154_session_2,rd-Ventricle,1172.3739820718765,,,
83,0027154_session_2,th-Ventricle,1956.1289700865746,,,
84,0027156_session_1,Accumbens-area,1159.3399822711945,,,
85,0027156_session_1,Amygdala,3584.006945192814,,,
86,0027156_session_1,Brain-Stem,19528.70470136404,,,
87,0027156_session_1,CSF,1009.7919845581055,,,
88,0027156_session_1,Caudate,8247.77787387371,,,
89,0027156_session_1,Cerebellum,139366.72886878252,,,
90,0027156_session_1,Cingulate,25539.093609452248,,,
91,0027156_session_1,Combined-Cerebral-WM,406619.2907819152,,,
92,0027156_session_1,Frontal,168791.6694188118,,,
93,0027156_session_1,Hippocampus,9358.75485688448,,,
94,0027156_session_1,Insula,12629.602806866169,,,
95,0027156_session_1,Occipital,49070.6082496047,,,
96,0027156_session_1,Pallidum,2241.161965727806,711.7764282308103,26.679138446186943,0.011904154565430092
97,0027156_session_1,Parietal,120978.49914997816,,,
98,0027156_session_1,Putamen,11190.374828875065,,,
99,0027156_session_1,Temporal,114421.36825025082,,,
100,0027156_session_1,Thalamus,16113.453753590584,,,
101,0027156_session_1,Total-Lateral-Ventricle,6807.863895893097,,,
102,0027156_session_1,VentralDC,8077.306876480579,,,
103,0027156_session_1,rd-Ventricle,789.9289879202843,,,
104,0027156_session_1,th-Ventricle,2515.2189615368843,,,
105,0027156_session_2,Accumbens-area,1129.8419827222824,,,
106,0027156_session_2,Amygdala,3691.3659435510635,,,
107,0027156_session_2,Brain-Stem,19264.937705397606,,,
108,0027156_session_2,CSF,971.7189851403236,,,
109,0027156_session_2,Caudate,8251.893873810768,,,
110,0027156_session_2,Cerebellum,139068.6618733406,,,
111,0027156_session_2,Cingulate,25761.700606048107,,,
112,0027156_session_2,Combined-Cerebral-WM,407224.34277266264,,,
113,0027156_session_2,Frontal,171809.38337266445,,,
114,0027156_session_2,Hippocampus,9303.531857728958,,,
115,0027156_session_2,Insula,12693.743805885315,,,
116,0027156_session_2,Occipital,49031.1632502079,,,
117,0027156_session_2,Pallidum,2220.410466045141,405.24196810595475,20.13062264575924,0.00906617175229527
118,0027156_session_2,Parietal,122345.354129076,,,
119,0027156_session_2,Putamen,11138.924829661846,,,
120,0027156_session_2,Temporal,114406.61925047636,,,
121,0027156_session_2,Thalamus,16194.05875235796,,,
122,0027156_session_2,Total-Lateral-Ventricle,6749.553896784782,,,
123,0027156_session_2,VentralDC,8041.291877031326,,,
124,0027156_session_2,rd-Ventricle,775.1799881458282,,,
125,0027156_session_2,th-Ventricle,2536.4849612116814,,,
126,0027157_session_1,Accumbens-area,1189.523981809616,,,
127,0027157_session_1,Amygdala,3800.0969418883324,,,
128,0027157_session_1,Brain-Stem,22647.603653669357,,,
129,0027157_session_1,CSF,1521.547976732254,,,
130,0027157_session_1,Caudate,9302.845857739449,,,
131,0027157_session_1,Cerebellum,169811.06540322304,,,
132,0027157_session_1,Cingulate,27090.139585733414,,,
133,0027157_session_1,Combined-Cerebral-WM,499154.1723668575,,,
134,0027157_session_1,Frontal,180084.9442461133,,,
135,0027157_session_1,Hippocampus,8979.39686268568,,,
136,0027157_session_1,Insula,13178.05979847908,,,
137,0027157_session_1,Occipital,51384.486214220524,,,
138,0027157_session_1,Pallidum,2617.2614599764347,553.4797035722062,23.526149357092123,0.008988841855067833
139,0027157_session_1,Parietal,133815.61695367098,,,
140,0027157_session_1,Putamen,11355.35782635212,,,
141,0027157_session_1,Temporal,132864.47796821594,,,
142,0027157_session_1,Thalamus,18583.73971581459,,,
143,0027157_session_1,Total-Lateral-Ventricle,41382.60636717081,,,
144,0027157_session_1,VentralDC,10005.99584698677,,,
145,0027157_session_1,rd-Ventricle,2140.6629672646523,,,
146,0027157_session_1,th-Ventricle,3274.2779499292374,,,
147,0027157_session_2,Accumbens-area,1153.1659823656082,,,
148,0027157_session_2,Amygdala,3795.2949419617653,,,
149,0027157_session_2,Brain-Stem,22524.809655547142,,,
150,0027157_session_2,CSF,1459.121977686882,,,
151,0027157_session_2,Caudate,9370.416856706142,,,
152,0027157_session_2,Cerebellum,169828.55840295553,,,
153,0027157_session_2,Cingulate,27072.989585995674,,,
154,0027157_session_2,Combined-Cerebral-WM,499647.7493593097,,,
155,0027157_session_2,Frontal,180946.21723294258,,,
156,0027157_session_2,Hippocampus,9096.01686090231,,,
157,0027157_session_2,Insula,13243.22979748249,,,
158,0027157_session_2,Occipital,51799.17320787907,,,
