,csf,3rd_ventricle,inf_lat_vent,4th_ventricle,frontal,temporal,parietal,occipital,insula,thalamus,caudate,putamen,pallidum,hippocampus,amygdala,accumbens_area,ventraldc,cingulate,cerebellum,subject,brain_stem,parietal,lateral_ventricle,total_cerebral_white_matter
0,1071.188945273281,845.8379567863948,1296.539933760167,1321.5789324809323,135781.0020629897,93772.7652091778,90254.2713889366,45023.20669977799,10464.586465367445,11113.885432194957,5154.26073667038,8027.914589856273,3002.278846614482,5480.453720005278,2535.1128704818507,833.4899574172503,6535.1786661197,16965.808133221995,104045.95768432351,OAS1_0303_MR1_mpr-4,17482.366106831207,90254.2713889366,16891.034137042177,365353.2913342109
4,1578.1429193731558,3133.64783990288,4207.580785035971,1796.6339082105173,152452.85921122954,115138.9201175874,96972.95504568107,39345.87098983137,13191.779326035987,12968.486337443957,8035.1175894882745,10413.13646799601,4100.907790485862,7251.705629512555,3155.256838798883,1042.376946745277,7993.61459160865,23105.507819546598,125131.53860706757,OAS1_0441_MR1_mpr-4,21873.45188249196,96972.95504568107,44988.5637015479,414745.2888107887
6,819.4269581357247,767.290960799337,904.4909537898309,1376.1159296946537,149758.25134889624,107638.53950077959,100545.64286315354,50549.62241743509,11351.584420050987,14473.570260549675,7206.429631825691,10667.642454993376,4106.395790205482,6779.051653660303,3163.831838360789,1150.7649412077676,7899.975596392638,20658.54594456114,136843.2730087186,OAS1_0072_MR1_mpr-4,20554.273949888364,100545.64286315354,13981.022285713803,446792.4631735083
26,1470.097924893142,2286.780883169057,3840.227803803924,2375.960878612878,168380.74939747847,107797.69149264856,108927.19043494281,52004.62834309928,17210.024120745074,13834.56129319645,7667.764608256227,7685.600607344992,4174.3097867357765,6925.5126461776545,3371.0038277764343,853.0409564183957,7800.50560147453,19201.482019002095,116696.14003802952,OAS1_0405_MR1_mpr-4,22449.691853052038,108927.19043494281,77916.56201926642,409259.34709106386
29,1247.833936248542,1456.3779255940926,2526.880870902421,1922.5149017792955,146154.007533036,110141.06737292622,102641.37275608332,40886.96991109708,11234.964426009068,13730.975298488629,8803.780550217516,9780.301500327358,3807.299805486205,7699.32060664404,3271.19083287585,1068.444945413471,7012.977641709094,18788.167040118235,112517.71425150403,OAS1_0112_MR1_mpr-4,17920.720084435834,102641.37275608332,41945.46785701874,397316.7737012063
34,1087.6529444321402,1938.6359009556786,2805.3968566731237,1637.8249163240207,126430.47954070506,89772.35641355749,84630.10067627377,36857.40611696628,9546.375512278564,13574.910306461941,6877.835648613458,8932.405543646104,3984.287796443942,5772.68970507503,2537.5138703591842,817.025958258391,7671.1946080809885,15420.936212149038,142450.63672224007,OAS1_0237_MR1_mpr-4,22503.19985031833,84630.10067627377,22833.165833460465,385093.9693256656
51,1156.2529409273873,1268.7569351795921,2835.2378551485563,1780.5129090341343,175740.84302145353,119664.80488636134,125575.72358437428,47375.15757961754,13073.787332064163,19029.982027763977,7896.545596567876,11816.349396306285,5095.950739649419,6355.789675284629,3187.1558371691726,987.4969495490798,9785.789500046976,23256.42781183614,155780.30204123154,OAS1_0183_MR1_mpr-4,25519.198696231862,125575.72358437428,50908.40039910523,571177.9768186901
59,1074.9619450805196,2275.8048837298174,2597.8818672750017,1606.6119179186833,144309.3536272788,99597.24791160674,86503.22358057648,42976.182804359836,11436.648415705095,11705.56040196646,7425.263620645528,9292.898525228626,3101.405841550114,4038.8247936576636,2512.1318716559426,950.4529514416463,6438.452671061401,20562.16294948532,101303.32982444353,OAS1_0447_MR1_mpr-4,18073.35507663776,86503.22358057648,29277.449504223965,352634.85198399215
70,921.2979529311664,1308.2019331643592,2055.5988949800744,1863.1759048109068,137178.0409916154,88347.5344863512,87189.22354552895,39605.86497654834,10924.206441885599,11897.297392170676,7708.924606153375,9003.749540001161,3821.705804750207,5964.769695261722,2385.5648781222126,979.9509499346025,6982.107643286234,17646.663098437322,114893.33213013443,OAS1_0271_MR1_mpr-4,19014.547028552548,87189.22354552895,19659.729995590344,343148.5014686469
74,1636.795916376592,2611.9448665565274,5906.459698240762,2774.5268582502626,147707.45445367089,91563.15932206591,96362.0720768909,42598.88282363597,13802.319294843684,12980.834336813103,7869.791597934729,9112.823534428604,4056.3177927639517,5432.433722458605,2111.507892123701,964.515950723172,7370.726623431807,20713.768941739814,114796.26313509366,OAS1_0399_MR1_mpr-4,21425.836905360477,96362.0720768909,56163.8461306061,407809.4861651368
76,1736.9519112596524,3647.804813634756,7102.500637135392,1682.0719140634549,139690.17286327132,74162.08421108156,71303.52235712462,41804.83786420348,10617.221457569369,11696.64240242208,5956.194695699816,8924.516544049151,3439.6038242716813,3973.311797004703,1551.0459207575332,861.2729559978253,6798.259652678971,18794.68403978528,96699.24105966503,OAS1_0351_MR1_mpr-4,17523.526104728353,71303.52235712462,63620.32274965696,341243.8225659564
83,1301.3419335148344,936.0469521776445,1634.051916516782,1420.0199274516117,156425.14200828684,104514.49566038605,111401.24930854389,58787.45299656682,10485.852464280972,13943.97828760637,7019.151641393666,9641.38650742448,3805.2418055913477,7046.934639974242,3203.619836328032,1101.0299437487133,7550.115614266879,21535.93989973535,134082.80914974987,OAS1_0305_MR1_mpr-4,20703.821942248003,111401.24930854389,12529.103359891902,435249.827763218
