,whole_brain,cortical_gm,combined_cerebral_wm,frontal,temporal,parietal,occipital,insula,thalamus,caudate,putamen,pallidum,hippocampus,amygdala,accumbens_area,ventraldc,cingulate,cerebellum,cerebellum_white_matter,cerebellum_cortex,lateral_ventricle,inf_lat_vent,total_lateral_ventricle,HippocampusOccupancyScore,subject
420,873632.2743663914,362446.02348274237,335096.5768800173,124738.4606271498,87217.69254407447,85591.52962715464,37677.51907506696,10108.552483557112,12318.158370669016,6421.988671902542,7627.633610306508,3399.472826321962,6933.058645792133,2677.457863209488,773.4649604839092,6593.48866314066,17112.269125739353,121193.21280827544,22796.807835317988,98396.40497295745,53113.20428646247,2779.3288580049298,55892.533144467394,0.7138451131356873,OAS1_0001_MR1
401,860585.5840329429,347970.7382222803,345564.2503452271,118084.60396709332,88628.7944719817,78187.18900544017,37464.51608594921,10026.232487762816,13073.10133209921,5887.251699222092,9148.152532623655,3858.74980285764,7214.661631405121,2910.6978512933274,995.0429491635568,6810.6076520481165,15579.402204053054,109545.96240332993,24176.353764837404,85369.60863849253,7861.902598337776,965.8879506530768,8827.790548990852,0.8818782547233359,OAS1_0002_MR1
105,935402.7982105543,390894.4420293212,376718.59575356095,140449.9178244562,82495.61178532416,90755.73736331683,49979.55644655958,9115.224534305937,12459.817363431703,6110.544687814121,7197.511632281308,3079.4538426716354,5461.931720951561,1621.7039171476376,685.9999649524693,6423.703671814923,18098.394075358527,114910.48212925825,20252.776965291756,94657.70516396649,44197.262741975224,4646.620762605551,48843.88350458077,0.5440771470235063,OAS1_0003_MR1
61,1125744.4644860562,466600.3691615284,466192.88518234657,159151.99186897292,118402.90795083126,113677.39719225619,42729.22281697694,12284.887372368823,14762.376245794665,7242.787629968172,12392.246366883883,4218.213784492735,6845.593650260693,3073.6228429695393,1056.7829460092792,7775.1236027712885,20353.961960122244,127155.58150365982,23601.485794207234,103554.09570945258,30067.378463866735,1811.3829074569953,31878.76137132373,0.7916465282365415,OAS1_0004_MR1
390,1300942.3385352495,556702.3485582456,524051.15122638526,197481.2109107447,132139.02824905704,126594.09053234624,59454.24496250063,13721.714298961768,17602.07310071541,7650.957609114891,13014.448335095774,4909.358749182347,8249.492578535921,3731.8398093414335,1331.5259319727431,9140.949532991654,27312.05960463514,144564.20261425863,26811.279630219837,117752.9229840388,10622.366457306513,1510.9149228078138,12133.281380114326,0.845376216878663,OAS1_0005_MR1
88,909312.1615435169,390435.16505278554,349881.93412463786,134386.7071342238,98121.3189870115,94541.42816990704,37611.66307843151,9482.920515520462,12764.058347888122,6496.762668082361,9197.88753008271,3326.7568300370003,6201.096683187847,2770.4108584605474,871.5629554721124,6902.18864736927,16291.127167691244,114052.29617310272,21136.344920150535,92915.95125295217,7680.798607590324,1788.4019086310877,9469.200516221412,0.776240627331021,OAS1_0006_MR1
430,1116096.903978947,474447.86576060206,444489.56129116286,166372.4845000801,120241.38785690388,105593.91660523876,46571.8516206582,12278.027372719298,15667.210199566973,8632.96655894435,11150.929430302389,4437.733773277525,8576.371561835771,3572.3448174899845,1168.6009402965315,8264.927577747352,23390.197805001873,128333.44344348321,23124.372818582793,105209.07062490043,11116.286432072291,1815.4989072467104,12931.785339319,0.8253315212747645,OAS1_0007_MR1
305,1180816.1986724576,521507.806356324,456327.1766863826,182604.9586707679,128777.97142077242,124786.48062469647,49446.877473773995,11710.36240172113,17023.432130278004,7405.369621661907,9425.63951844693,4169.850786963585,8808.239549989707,3344.935829108241,1109.604943310619,8321.865574838406,24181.15576459207,136269.77703801834,26651.441638385913,109618.33539963243,19646.009996291294,1479.3589244200002,21125.36892071129,0.8565507524066422,OAS1_0009_MR1
160,988621.6464916194,385817.6992886905,425338.5002695847,136246.7960391924,87579.21452560443,91748.72231258555,39867.23096319524,11109.08343244029,13033.99933409692,6794.143652889257,9035.991538353926,3487.6238218183544,4970.755746045594,2327.5978810837287,853.7269563833481,7053.794639623767,19266.65201567258,115952.51607602104,24211.33976304998,91741.17631297107,53604.03726138596,2277.5198836421987,55881.55714502816,0.6861173974540311,OAS1_0010_MR1
261,976503.457110734,381710.27449853753,420889.44749688555,127618.97447998522,97006.22604398127,88935.09345633298,42459.62483075062,9038.39253823126,13642.138303027283,6622.64366165114,9204.061529767281,3790.4928063448697,6841.1346504885005,2673.6848634022494,972.4049503201254,7342.257624886281,16651.963149256244,114769.5091364605,23338.74780763044,91430.76132883006,19044.731027010457,1087.6529444321402,20132.383971442596,0.8623714366784043,OAS1_0011_MR1
259,1175121.3699634047,482129.69336813985,476824.16963919747,166499.73749357878,117756.69598384603,114362.7111572437,50041.98244337026,11928.853390558492,17279.65311718775,7493.5206171582995,9011.295539615638,4018.5877946915657,7895.8595966029225,3117.183840744021,1067.0729454835662,8405.900570545084,21539.71289954259,145582.91256221305,29647.203485333346,115935.7090768797,17393.87211135234,1367.1979301502715,18761.07004150261,0.8529339088598489,OAS1_0012_MR1
144,991689.0953349043,396110.4427628374,415577.74976825854,133960.35815600585,96455.36807212443,91307.96733510357,45160.06369278602,10097.576484117873,11661.656404209505,7244.84562986303,7427.664620522863,3846.7448034709723,6578.396663911705,2703.182861895206,862.3019559452541,6831.873650961643,19129.10902269961,122288.41175232205,23619.664793278473,98668.74695904358,83014.91375879318,3123.014840446117,86137.9285992393,0.6781406171840245,OAS1_0013_MR1
