,csf,3rd_ventricle,inf_lat_vent,4th_ventricle,frontal,temporal,parietal,occipital,insula,thalamus,caudate,putamen,pallidum,hippocampus,amygdala,accumbens_area,ventraldc,cingulate,cerebellum,total_lateral_ventricle,subject,brain_stem,parietal
1,1296.196933777691,1261.210935565115,2626.007865838053,1734.5509113823189,183925.16560331895,117667.85898838469,118874.5329267361,58243.79802434199,11561.500409326443,16473.94615835108,8838.08054846514,11881.176392994294,4807.830754369382,7739.45160459376,3238.605834540608,1152.822941102625,8808.582549972183,22153.33986819257,159021.30887564947,24852.063730315585,OAS1_0327_MR1_mpr-3,25287.673708060403,118874.5329267361
7,1497.8809234737168,2913.0988511706614,3945.8717984066043,1855.2869052139536,135325.49808626127,81972.19381206541,85528.07463039656,38272.28104468074,11341.980420541653,12276.312372806915,6617.841661896473,8045.750588945037,3471.159822659495,5347.712726786975,2212.6928869541903,809.479958643914,6940.947645389086,19532.820002074135,106927.84353708883,49519.25047007648,OAS1_0028_MR1_mpr-3,19228.23601763524,85528.07463039656
11,1444.7159261899005,2329.655880978586,3830.280804312113,2379.0478784551638,167046.8224656284,104714.4646501697,108876.42643753633,51499.38936891178,15317.007217458737,13647.626302746903,7545.999614477163,7492.491617210871,4207.923785018447,6731.374656096106,3208.7648360651756,856.4709562431581,7667.42160827375,18969.271030865682,114467.66915188142,74979.11016933995,OAS1_0405_MR1_mpr-3,22123.155869734663,108876.42643753633
12,1394.2949287658942,1823.3879068436636,2672.655863454821,1439.570926452757,160821.02978370225,107162.79852508505,114961.58912664722,53353.304274195834,12244.756374419103,13967.302286414753,6898.758647544509,9488.40851524008,4242.9097832310235,7031.499640762811,2753.260859336736,997.1009490584142,7781.640602438337,22304.60286046459,134205.26014349388,40780.29691654697,OAS1_0452_MR1_mpr-3,22949.44282751991,114961.58912664722
16,880.1379550340182,888.3699546134478,2403.7438771934526,1743.8119109091772,186228.06748566442,109172.7784223958,121597.26678763243,60805.66489345698,11884.949392801533,19109.90102368094,8157.911583214766,11423.614416370998,4464.144771928195,7475.684618069536,2835.9238551135086,1072.5609452031858,8647.372558208353,22131.044869331614,153762.43314432382,18387.886060568468,OAS1_0108_MR1_mpr-3,22139.276868911045,121597.26678763243
19,1325.0089323056945,1934.86290114844,3424.511825042727,1875.5239041800514,144932.9275954206,93714.11221217437,93742.23821073741,42280.23583991555,12678.994352234015,13213.388324931988,7572.75361311031,9595.08150979019,3679.7038120050456,6239.855681207662,2585.8768678883334,882.8819548938282,7102.500637135392,19033.755027571213,101660.73580618377,34816.89922121516,OAS1_0228_MR1_mpr-3,18702.074044516696,93742.23821073741
22,1060.5559458165176,836.5769572595365,2125.9138913877027,1725.6329118379367,167657.01943445363,111897.570283187,117888.06497713445,59178.47297658973,10598.356458533177,15378.404214321981,6653.170660091524,10447.779466226108,4489.869770613912,8189.467581602579,2710.0428615447304,1030.7149473410852,8201.815580971725,21541.08489947249,144695.91460752953,24179.783764662163,OAS1_0318_MR1_mpr-3,21797.99188634719,117888.06497713445
24,741.9089620960957,608.4819689128403,1322.2649324458848,1429.6239269609462,156674.84599552955,106262.76657106742,100651.2868577562,41037.20390342167,9359.783521811492,13502.880310141933,5347.369726804499,8591.463561064727,3278.7368324903273,7379.987622958666,2532.7118706045167,988.5259494965085,7190.3086326493085,18402.978059797417,128844.17041739033,7211.9176315453105,OAS1_0236_MR1_mpr-3,17294.745116416707,100651.2868577562
40,1142.1899416458616,1058.8409459041366,2370.129878910782,1997.9748979240671,173405.01314079034,107801.80749243827,116700.25603781923,55953.93014133064,11743.976400003801,16972.66813287152,8713.22855484379,11950.462389454493,4830.468753212814,6846.965650190597,2740.9128599675914,1263.9549354249248,8482.732566619761,19886.10998402466,138719.4829128636,33180.44630482104,OAS1_0145_MR1_mpr-3,21465.62490332772,116700.25603781923
43,1049.9229463597544,1139.1029418035755,2445.5898750555534,2373.5598787355443,169341.49234839441,119848.30987698612,119416.815899031,50225.144434012574,12280.771372579107,17470.018107462063,8358.566572963364,11372.16441899956,4742.317757716421,7906.14959607721,3295.543831631663,1105.8319435033807,9122.427533937938,21631.979894828695,143919.7056471858,22579.68884641053,OAS1_0207_MR1_mpr-3,22717.917839348454,119416.815899031
