,csf,3rd_ventricle,inf_lat_vent,4th_ventricle,frontal,temporal,parietal,occipital,insula,thalamus,caudate,putamen,pallidum,hippocampus,amygdala,accumbens_area,ventraldc,cingulate,cerebellum,subject,brain_stem,parietal,lateral_ventricle,total_cerebral_white_matter
0,1103.430943626047,850.2969565585859,1320.5499325335036,1344.55993130684,134765.72211486002,91492.84432565828,89803.22641198034,45525.3586741232,10407.991468258866,11083.015433772096,5162.835736232284,8039.576589260465,2979.2978477885745,5474.965720285658,2456.908874477269,828.3449576801067,6480.298668923502,16825.521140389217,102862.26474479803,OAS1_0303_MR1_mpr-4,17304.006115943565,89803.22641198034,16948.658134098187,359656.06162528065
4,1639.539916236402,3160.4018385360264,4300.876780269507,1846.7119056520476,152594.86120397472,112464.20625423774,97758.42500555166,39820.23996559599,13101.913330627212,12887.881341562043,8083.1375870349475,10427.885467242488,4089.588791064147,7214.661631405121,3082.5408425139212,1041.0049468153725,7918.84059542883,23280.780810591954,123295.80270085475,OAS1_0441_MR1_mpr-4,21654.617893672126,97758.42500555166,44982.04670188085,404991.05530912953
6,858.1859561555392,779.9819601509577,873.2779553844936,1391.207928923608,148899.0363927933,105854.59659192071,100124.43888467271,50756.45140686826,11331.004421102414,14450.932261706244,7234.555630388742,10743.445451120624,4111.197789960149,6889.840648000127,3135.3628398152614,1162.083940629483,7832.061599862343,20630.41994599809,136149.04104418668,OAS1_0072_MR1_mpr-4,20384.145958580153,100124.43888467271,13988.225285345803,440817.40347877226
26,1443.3439262599957,2329.655880978586,3866.6388024545936,2435.9858755462187,166403.69749848548,103879.60269282253,108167.10247377546,51533.346367176935,15169.517224993957,13634.24930343033,7547.371614407068,7433.495620224958,4167.4497870862515,6792.771652959353,3271.876832840803,848.5819566462046,7673.252607975846,18870.487035912527,113293.92321184775,OAS1_0405_MR1_mpr-4,22135.16086912133,108167.10247377546,68637.04049335438,399675.24158071284
29,1243.7179364588271,1467.0109250508558,2614.345866433861,1952.0129002722517,145114.37458615052,107336.69951620049,101753.68880143482,40846.83891314737,11138.238430950769,13682.612300959478,8790.403550900943,9800.538499293452,3818.2758049254444,7656.4456088345105,3161.7738384659315,1067.4159454660423,6969.416643934614,18914.39103366949,111433.14830691418,OAS1_0112_MR1_mpr-4,17737.21509381105,101753.68880143482,41966.04785596732,391624.0029920482
34,1113.7209431003341,1968.1338994486348,2891.1468522921823,1689.274913695456,126350.21754480562,87534.967527865,84233.93569651371,36920.518113741906,9574.844510824092,13552.615307600985,6904.589647246605,8967.048541876204,3957.19079782832,5710.263708264355,2420.2078763523123,815.3109583460099,7578.24161282993,15538.928206120861,140627.93481536137,OAS1_0237_MR1_mpr-4,22230.171864267246,84233.93569651371,22935.03682825591,378246.6606754926
51,1128.469942346812,1289.6799341106425,2991.9888471401955,1823.0449068611874,175544.99003145957,113615.31419542799,125663.18857990572,47328.85258198324,12911.205340370427,18928.454032951013,7931.188594797975,11802.629397007237,5080.172740455512,6220.647682188992,2991.645847157719,1003.960948707939,9732.62450276316,23199.14681476261,152299.53821906267,OAS1_0183_MR1_mpr-4,24828.053731542248,125663.18857990572,51045.60039209573,560141.6093825346
59,1100.0009438012846,2296.041882695915,2670.597863559963,1615.1869174805893,144294.94762801478,98164.87998478598,86576.96857680887,42909.297807776966,11491.185412918814,11658.912404349692,7445.5006196116265,9366.986521443494,3065.047843407633,3992.1767960408956,2492.2378726723214,955.9409511612661,6384.258673830156,20462.69295456721,98858.76894933541,OAS1_0447_MR1_mpr-4,17809.588090113535,86576.96857680887,29413.62049726703,345941.8933259334
70,925.4139527208812,1320.8929325159797,2094.0148930174128,1868.6639045305267,136781.19001189037,87064.3715519076,87033.15855350226,39712.537971098456,10991.434438450942,11844.475394869336,7667.078608291275,8997.232540334113,3828.2228044172552,5911.947697960381,2343.7188802601117,1000.5309488831766,6952.266644810801,17690.224096211805,110102.30837490638,OAS1_0271_MR1_mpr-4,18700.359044604316,87033.15855350226,19713.580992839114,335830.9398424989
74,1632.6799165868772,2662.0228639980573,5857.067700764184,2814.657856199982,148084.06843442976,87154.58054729886,97716.57900768955,42887.002808916004,13586.229305883657,12845.692343717466,7818.3416005632935,8983.85554101754,4027.848794218424,5295.919729433063,2040.8498957335964,959.0279510035523,7186.192632859593,20739.836940408008,108736.8254446685,OAS1_0399_MR1_mpr-4,20947.694929788606,97716.57900768955,56490.72511390595,392921.2289257733
76,1742.096910996796,3588.4658166663676,7134.742635488157,1658.4049152725947,141913.4987496823,73724.75923342438,72748.581283297,42484.320829488905,10796.267448421964,11599.573407381304,5974.7166947535325,8848.713547921903,3408.390825866344,3958.5627977582244,1514.6879226150522,853.0409564183957,6686.784658374196,18636.56104786374,94896.43315176995,OAS1_0351_MR1_mpr-4,17350.311113577856,72748.581283297,63509.19075533467,329142.0971842299
83,1342.5019314119827,954.9119512138374,1781.8849089640394,1473.5279247179042,154967.04908278032,99249.10292939335,109969.91038167056,58362.133018296285,10158.287481016167,13858.914291952264,6947.121645073657,9645.502507214196,3794.265806152108,6865.487649244314,2992.331847122671,1115.4359430127151,7488.718617403632,21269.08591336884,132460.76223261975,OAS1_0305_MR1_mpr-4,20456.861954865115,109969.91038167056,12654.298353495727,428335.6341164621
84,1329.1249320954093,2496.353872462036,3561.368818050745,3565.827817822936,136165.16204336306,89590.56642284509,88073.13450037022,39806.86296627941,10001.879489007004,11330.661421119938,6779.051653660303,7447.90161948896,2999.5348467546723,5161.806736284856,2293.6408828185813,593.7329696663624,6174.3426845547,17069.051127947343,92072.85729602558,OAS1_0299_MR1_mpr-4,16773.042143070354,88073.13450037022,62972.73878274183,326420.04932329844
90,1090.0539443094738,1010.8209483574636,1508.8569229129564,2292.954882853629,166228.76750742257,110371.90636113271,106273.74257050666,49159.10048847643,10239.578476863035,15185.981224152816,8028.943589803702,9568.327511157044,3870.068802279356,7267.140628723984,3215.6248357147006,1003.2749487429865,7647.5276092901295,21224.838915629403,132872.7052115737,OAS1_0055_MR1_mpr-4,18210.212069645775,106273.74257050666,15174.662224731099,406255.0102445545
93,924.3849527734525,1185.7509394203435,1265.669935337306,1417.9619275567543,146700.06350513815,99265.9099285347,103247.11072513636,45290.06068614451,10121.929482873686,14447.159261899005,7305.8996267438,9515.162513873227,4251.8277827754055,6722.7996565342,2961.4618486998106,1058.154945939184,6983.822643198615,18855.052036701098,117951.17697391007,OAS1_0293_MR1_mpr-4,18958.9810313914,103247.11072513636,24886.706728545687,372975.09394481534
94,1395.666928695799,1663.5499150097382,4668.229761501554,1911.1959023575798,141616.80376484036,90389.75638201469,92059.8232966915,38742.534020655665,10899.167443164833,11693.555402579794,7847.839599056249,9637.270507634767,3432.4008246396806,4924.793748393778,2676.771863244536,861.6159559803016,6488.530668502932,18023.963079161178,90695.36936640102,OAS1_0278_MR1_mpr-4,17478.25010704149,92059.8232966915,48314.634531619944,329241.22417916555
95,931.9309523879297,846.8669567338235,1894.045903233768,2103.9618925092236,164233.53660935833,113644.46919393845,116621.02304186721,53033.28529054551,12482.455362275134,16861.879138531698,9035.305538388973,11137.895430968292,4372.906776589516,7394.736622205144,2792.7058573215027,1046.492946534992,8346.904573559172,21853.900883490816,150393.14431645977,OAS1_0129_MR1_mpr-4,19814.422987687125,116621.02304186721,17248.09711879994,440473.03149636614
97,1916.3409020947233,3778.4878069582014,4355.070777500752,4500.159770088199,163142.7966650839,108604.08445145018,110695.01234462531,52771.57630391614,11855.1083943261,16087.042178117885,8031.00158969856,10868.297444741973,4456.598772313717,8014.194590557224,3582.6348169642715,1053.695946166993,8568.825562221295,22390.009856101173,129828.23736711463,OAS1_0120_MR1_mpr-4,26746.795633514306,110695.01234462531,67490.39155193632,462355.4013784025
100,1285.5639343209277,1198.7849387544402,2077.8938938410297,1381.6039294142734,139664.10486460314,82718.56177393372,89428.3274311338,48789.68950734953,9276.09152608729,13277.529321655045,7258.222629179603,9575.530510789045,3419.70982528806,5628.2867124525355,2374.2458787004966,875.6789552618272,7037.3306404649065,17191.50212169136,106213.71757357332,OAS1_0371_MR1_mpr-4,17039.896129436864,89428.3274311338,17071.452127824676,381127.174528328
