,csf,3rd_ventricle,inf_lat_vent,4th_ventricle,frontal,temporal,parietal,occipital,insula,thalamus,caudate,putamen,pallidum,hippocampus,amygdala,accumbens_area,ventraldc,cingulate,cerebellum,subject,brain_stem,parietal,lateral_ventricle,total_cerebral_white_matter
1,1261.8969355300674,1224.852937422634,2529.624870762231,1700.5939131171717,184644.7795665541,120816.94182749902,119733.06188287411,58466.74801295153,11516.910411604533,16536.37215516175,8871.008546782858,11831.784395517716,4788.622755350712,7694.518606889373,3338.7618294236686,1157.281940874816,8887.472545941717,22480.904851457373,161016.19677373124,OAS1_0327_MR1_mpr-3,25624.842690834543,119733.06188287411,22114.92387015523,510538.32391675154
7,1484.5039241571437,2901.093851783993,3894.4218010351688,1878.2679040398612,134765.72211486002,83951.64671093578,84682.57967359264,37860.338065726784,11370.792419069658,12374.067367812644,6583.541663648848,8042.663589102751,3494.4838214678794,5441.008722020511,2326.5688811362998,808.7939586789614,6990.339642865663,19433.693007138507,110026.50537877914,OAS1_0028_MR1_mpr-3,19595.931998849766,84682.57967359264,45478.02467654148,355273.55084918183
11,1466.3249250859033,2287.466883134009,3816.560805013063,2322.452881346585,168802.29637594175,108111.87947659679,109733.92639372691,51902.414348321356,17435.71810921444,13866.803291549215,7694.175606906897,7644.783609430319,4216.4987845803535,6831.1876509966905,3347.3368289855744,866.7609557174451,7824.1726002653895,19284.145014778864,117284.04200799379,OAS1_0405_MR1_mpr-3,22380.062856609362,109733.92639372691,78149.80200735027,409504.2490785519
12,1344.9029312893163,1772.2809094547047,2578.6738682563328,1367.1979301502715,163365.74665369344,110177.76837105115,117150.95801479302,54692.37620578306,12280.771372579107,14034.530282980097,6816.438651750212,9449.30651723779,4305.678780024175,7033.214640675193,2794.0778572514077,988.1829495140322,7871.163597864634,22473.701851825375,135224.9990913957,OAS1_0452_MR1_mpr-3,23071.55082128145,117150.95801479302,38049.67405605367,444074.874312349
16,831.7749575048691,853.383956400872,2100.8748926669377,1684.8159139232648,195166.30402901256,120160.09686105703,123934.81166820799,62238.71882024269,12611.080355703722,19312.271013341917,8205.245580796487,11491.871412883767,4494.328770386103,7893.458596725589,3153.1988389040253,1134.9869420138607,8906.680544960385,23269.118811187764,161762.22173561703,OAS1_0108_MR1_mpr-3,22989.916825452106,123934.81166820799,15703.225197726977,529705.505937506
19,1310.6029330416927,1898.1619030234829,3273.93483273566,2080.63789370084,144889.02359766362,96056.45909250458,93597.83521811492,42453.450831066046,12759.942348098408,13289.534321041714,7525.762615511066,9566.269511262186,3705.7718106732395,6382.8866739002515,2734.738860283019,892.1429544206865,7213.9756314401675,19104.413023961322,109849.86038780388,OAS1_0228_MR1_mpr-3,19933.44398160638,93597.83521811492,31299.777400903848,396067.9107650103
22,1038.9469469205148,844.1229568740135,2006.2068975034967,1700.2509131346953,169498.92934035097,117976.5589726133,118311.3269555101,59464.5349619749,11072.725434297809,15405.501212937605,6611.324662229424,10492.712463930497,4509.763769597534,8261.154577940113,2954.6018490502856,1020.7679478492745,8299.57057597745,21836.407884384527,147516.0604634491,OAS1_0318_MR1_mpr-3,22094.34387120666,118311.3269555101,22024.714874763984,466360.269173795
24,683.2559650926595,599.5639693684583,1309.2309331117879,1409.0439280123721,159586.5728467703,110386.6553603792,102652.0057555401,41261.52589196112,9563.868511384851,13590.34530567337,5394.017724421266,8583.574561467773,3260.9008334015634,7371.755623379237,2642.128865014436,980.9799498820312,7287.034627707606,18784.05104032852,129641.98837663005,OAS1_0236_MR1_mpr-3,17463.15810781254,102652.0057555401,5862.212700501327,370109.32909122633
40,1112.6919431529054,1030.7149473410852,2183.53788844371,1956.4719000444427,175642.40202648283,114687.53214064869,117899.72697653863,56369.989120074315,11925.766390716206,17030.635129910006,8736.209553669698,11928.510390576015,4855.850751916055,7069.572638817674,2926.4758504872343,1239.9449366515885,8565.395562396534,20219.848966974037,141782.81575635885,OAS1_0145_MR1_mpr-3,21865.905882877487,117899.72697653863,30711.5324309571,495527.6156836441
43,995.0429491635568,1111.3199432230003,2355.0378796818277,2322.452881346585,170465.16029098653,124830.38462245342,119944.69287206195,50814.07540392426,12648.46735379363,17512.893105271593,8365.083572630412,11346.096420331367,4765.641756524805,7930.845594815499,3466.700822887304,1107.889943398238,9234.24552822519,22053.526873291987,146139.94453375446,OAS1_0207_MR1_mpr-3,23017.01382406773,119944.69287206195,20039.08797620906,528144.1700172741
44,1308.2019331643592,1197.4129388245353,2125.5708914052266,2020.2698967850224,153696.92014767084,103955.74868893228,102547.39076088485,49844.75745344643,11587.22540801216,14217.006273657451,6336.238676283483,9700.382504410394,4096.791790696147,7038.702640394813,2821.5178558495068,913.7519533166892,8050.8955886821805,18607.406049353256,134660.7641202223,OAS1_0188_MR1_mpr-3,21332.54091012694,102547.39076088485,22710.71483971645,402529.3444348976
45,1132.2429421540508,786.4989598180061,1284.5349343734988,2393.4538777191656,123878.21667109939,95478.16112204966,87427.26553336746,38395.41803838972,10089.344484538444,13448.000312945733,6329.721676616435,9268.88852645529,4067.293792203191,6127.00868697298,2841.7548548156046,929.8729524930723,7501.4096167552525,16386.481162819637,128762.87942154346,OAS1_0026_MR1_mpr-3,19680.652994521395,87427.26553336746,17438.46210907425,373911.48389697546
46,942.2209518622167,912.3799533867843,2156.0978898456115,1355.5359307460794,173503.454135761,109658.80939756462,114567.48214678201,51195.14838445536,11821.837396025905,16666.71214850272,7702.750606468802,10849.089445723304,4167.4497870862515,6641.165660704856,2923.3888506449484,1189.8669392100583,8330.097574417836,23009.124824470775,140270.18583363865,OAS1_0127_MR1_mpr-3,21956.800878233687,114567.48214678201,19167.525020736946,459529.7675227632
50,1001.216948848129,867.1039556999214,1402.8699283278,2358.4678795065897,201918.25868405728,137654.81096725736,127868.33546724543,63017.32878046374,14897.175238907825,18732.258042974605,7930.845594815499,11949.090389524588,4780.390755771283,8271.101577431924,3945.871798406604,1307.858933181883,9665.739506180293,25893.06867713096,170380.43929531492,OAS1_0061_MR1_mpr-3,25324.37470618536,127868.33546724543,9863.993496051557,511915.46884639363
62,1078.0489449228057,1359.9949305182706,1848.769905546905,1672.1249145716442,138748.98091135657,87414.91753399832,79804.77692279809,41077.33490137139,9311.077524299868,12329.134370108255,6337.953676195864,7602.251611603266,3294.514831684234,6093.3946886903095,2444.2178751256483,845.4949568039185,7164.926633946066,17980.745081369176,107562.05050468739,OAS1_0322_MR1_mpr-3,19027.92402786912,79804.77692279809,24595.49974342336,392809.41093148605
63,1160.7119406995782,1252.292936020733,1876.2099041450037,1917.7129020246282,190647.6222598707,120277.74585504635,115052.8271219859,51241.79638207213,13337.897318570864,16975.069132748857,10016.971488235959,10793.523448562153,4732.713758207086,7912.666595744258,3712.631810322764,1229.9979371597776,8980.0825412103,23062.289821754595,156883.73298485758,OAS1_0017_MR1_mpr-3,23478.005800515788,115052.8271219859,22471.986851912992,490391.533946045
64,1105.4889435209045,1246.1189363361607,1981.853898747684,2812.942856287601,186748.39845908084,124479.15264039775,123261.8457025896,60358.0499163255,11527.886411043772,16799.453141721024,8961.217542174109,10216.25447805465,4045.6847933071886,8335.585574137456,3347.3368289855744,1206.6739383513936,8081.07958714009,24385.583754147905,127684.83047662067,OAS1_0121_MR1_mpr-3,19820.939987354173,123261.8457025896,23383.33780535235,475040.56973032106
73,1158.996940787197,1131.8999421715746,2450.734874792697,2654.133864401104,217175.24090458266,133596.77817458104,136603.5160209677,64790.295689883395,14363.467266174805,18186.202070872438,9651.676506898768,12716.381350323925,4847.618752336625,7759.345603577382,3565.48481784046,1441.6289263476144,9846.843496927746,25740.776684911507,178290.70489118184,OAS1_0214_MR1_mpr-3,27107.631615079303,136603.5160209677,19580.496999638333,546850.0170615981
80,1220.0509376679668,2198.286887690188,3078.0818427417303,2630.123865627768,140183.0638380897,99108.8159365606,94567.83916855772,45992.86765023832,10272.506475180753,11693.212402597317,7136.800635383015,7476.370618034488,3807.2998054862055,6484.414668713217,2693.9218623683473,837.2629572244889,6829.472651084309,19426.490007506505,119089.93691573116,OAS1_0013_MR1_mpr-3,19951.965980660098,94567.83916855772,83063.27675632233,401444.77849030774
82,737.1069623414284,708.2949638134246,2001.4048977488296,1432.367926820756,157261.71896554637,111595.7302986079,108966.63543292756,47758.63156002597,11939.829389997729,15740.955195799363,7006.803642024523,11352.613419998415,4401.375775135044,8181.2355820231505,3559.3108181558873,1131.213942206622,8513.259565060145,21295.15391203703,140942.46579929208,OAS1_0148_MR1_mpr-3,22334.7868589225,108966.63543292756,6382.8866739002515,484478.21424815466
96,1389.1499290287504,2460.3388743020314,3606.644815737608,1909.8239024276747,122847.50172375831,85035.52665556068,77626.727034074,42638.32782162073,10517.065462686307,13086.478331415783,6660.716659706001,8691.962555930264,4049.4577931144267,7504.839616580015,2879.8278528704664,713.4399635505682,7476.027618052011,15902.16518756319,120560.72084058926,OAS1_0184_MR1_mpr-3,21129.827920483487,77626.727034074,51262.719381003175,369682.29411304346
