,whole_brain,cortical_gm,combined_cerebral_wm,frontal,temporal,parietal,occipital,insula,thalamus,caudate,putamen,pallidum,hippocampus,amygdala,accumbens_area,ventraldc,cingulate,cerebellum,cerebellum_white_matter,cerebellum_cortex,lateral_ventricle,inf_lat_vent,total_lateral_ventricle,HippocampusOccupancyScore,subject
420,882284.7919243367,368796.3251583073,336782.07879390556,127096.92850665638,89146.72444552083,87238.27254302305,37954.320060925274,10058.474486115581,12386.072367199311,6415.471672235493,7583.043612584597,3414.9078255333925,6948.150645021086,2700.4388620353957,785.4699598705774,6630.189661265616,17301.605116066232,121556.79278970025,22499.42685051109,99057.36593918916,53220.220280995054,2719.3038610715885,55939.52414206664,0.7187239153346205,OAS1_0001_MR1
401,869551.6035748717,354953.874865514,346994.5602721529,120885.54182399425,90535.5313745671,80204.37190238292,37558.84108113018,10057.445486168153,13155.764327875982,5931.155696979051,9125.171533797748,3865.9528024896413,7129.254635768539,2937.451849926474,998.129949005843,6837.704650663739,15712.14319727136,109814.53138960883,24110.84076818444,85703.69062142438,7876.651597584254,1015.622948112131,8892.274545696386,0.8753329424436421,OAS1_0002_MR1
105,946512.910642942,398525.848639435,379418.00561564893,143510.16366810916,84730.25667115682,92543.45327198299,50319.81242917601,9104.93453483165,12556.886358472475,6131.124686762696,7180.704633139973,3072.9368430045865,5504.80671876109,1666.9799148345005,691.8309646545654,6408.611672585969,18317.228064178362,115451.39310162325,20225.67996667613,95225.71313494713,44271.350738190085,4561.556766951446,48832.907505141535,0.550877824936546,OAS1_0003_MR1
61,1135249.6800004372,473395.541814365,468517.05306360556,161368.8007557168,120408.08584838736,116112.35406785496,42720.99081739751,12218.68837575091,14795.64724409486,7269.541628601318,12301.351371527682,4212.725784773114,6676.151658917432,3112.381840989354,1053.695946166993,7742.538604436046,20566.621949257507,127472.17048748539,23561.354796257514,103910.81569122788,30145.582459871315,1833.3349063354744,31978.91736620679,0.7854455811540108,OAS1_0004_MR1
390,1310844.4050293562,567291.1010172693,523073.94427631045,201556.05070256238,135058.64409989474,129659.82437571882,59257.705972541735,13868.518291461598,17686.451096404566,7661.2476085891785,12987.351336480151,4871.971751092437,8144.534583898193,3772.313807273629,1331.8689319552195,9153.297532360799,27890.35757509007,144666.0736090541,26560.54664302971,118105.52696602436,10624.42445720137,1541.784921230675,12166.209378432044,0.8409676827759045,OAS1_0005_MR1
88,919860.4400046086,400686.74852903525,349594.1571393403,138528.43192262435,100998.0598400397,97009.65604380603,37785.22106956449,9648.589507056482,12846.721343664894,6569.478664367323,9201.660529889949,3331.901829774144,6181.545684186702,2819.1168559721727,883.5679548587806,6884.00964829803,16716.79014594425,114360.65315734883,21019.381926126138,93341.2712312227,7715.098605837948,1772.2809094547047,9487.37951529265,0.7773003041340105,OAS1_0006_MR1
430,1127041.0044198164,482928.5403273271,446093.42920922174,169663.56933193962,123199.76270576142,107617.27350186606,46347.87263210121,12291.061372053395,15723.119196710599,8790.74655088342,11157.103429986963,4424.356773960952,8567.45356229139,3650.891813477042,1171.0019401738653,8315.348575171356,23809.000783605356,128773.8554209827,22960.761826941627,105813.09359404107,11065.865434648284,1771.251909507276,12837.11734415556,0.828691212111713,OAS1_0007_MR1
305,1191475.9521278546,532316.4218041152,455959.1377051856,186747.02645915095,132297.49424096104,127630.29347940694,49492.8394714258,11666.45840396417,17096.148126562966,7408.799621486669,9432.156518113978,4178.082786543015,8724.547554265506,3391.926826707485,1131.213942206622,8275.903577186591,24482.3097492062,136351.75403383013,26453.873648479603,109897.88038535055,19625.7729973252,1473.184924735428,21098.957922060625,0.8558819654293734,OAS1_0009_MR1
160,994901.9761707591,387441.461205733,429714.15104603407,136675.20301730523,88845.5704609067,91982.64830063432,39655.94297398988,10964.680439817796,13055.60833299292,6753.326654974586,8976.309541403061,3496.884821345213,4993.736744871501,2354.0088797343988,850.2969565585859,7088.780637836343,19317.416013079062,116097.94806859097,23996.621774019855,92101.3262945711,53723.05825530521,2190.3978880932345,55913.45614339845,0.6955175857779337,OAS1_0010_MR1
261,986399.0066051733,389267.250112454,422736.8454025025,130423.3423367109,99482.68591745969,91454.7713276034,42358.09683593765,8955.386542472012,13664.776301870714,6669.634659250384,9150.210532518513,3784.6618066427736,6682.325658602004,2704.2118618426343,949.4239514942176,7322.706625885135,16592.96715227033,115105.64911928723,23342.520807437675,91763.12831184955,19104.070023978842,1182.6639395780571,20286.7339635569,0.8490969920551751,OAS1_0011_MR1
259,1180245.7897015996,486101.9761651972,477696.4185946345,167459.45144454733,119538.92389279255,115907.92607829913,49820.061454708135,11822.523395990858,17312.238115522996,7516.1586160017305,8935.49254348839,4017.2157947616606,7768.606603104239,3140.8508395348813,1062.613945711375,8401.098570790416,21553.08989885916,145755.09855341614,29488.051493464372,116267.04705995176,17480.9941069013,1450.5469258919966,18931.5410327933,0.8432395539193851,OAS1_0012_MR1
144,1000831.0738678434,401663.95547911007,418715.5136079512,135750.13206456683,98369.99397430678,92680.31026499099,45510.60967487672,10023.14548792053,11723.739401037703,7193.738632474071,7362.494623852377,3847.087803453448,6623.3296616160915,2739.19786005521,852.011956470967,6871.31864894641,19329.764012448206,122600.19873639295,23478.348800498265,99121.84993589469,83084.54275523586,3035.549844914677,86120.09260015053,0.6858158576907518,OAS1_0013_MR1
0,1144168.7085447668,492246.13485129393,451050.4649559682,173647.85712838353,119952.23887167641,116488.96804861387,50038.20944356303,10917.003442253597,15522.464206962002,7258.222629179602,10443.320466453919,3970.567797144893,6993.426642707949,3206.7068361703186,1142.5329416283378,7645.126609412795,21201.857916803492,133842.70916201652,26811.96563018479,107030.7435318317,11727.855400827419,1325.3519322881707,13053.207333115588,0.8408176596856202,OAS1_0014_MR1
250,1106765.589455681,427380.3791652658,480414.3504557762,155508.64605511032,89637.9004204268,98374.10997409649,52627.51631127612,11817.378396253715,14808.33824344648,7134.742635488158,8842.539548237331,4510.7927695449625,5044.84374226046,2066.231894436838,790.2719596252448,7833.433599792248,19414.828008102315,132792.78621565673,25718.824686033033,107073.96152962372,57411.33706687216,3817.9328049429687,61229.26987181514,0.5689952149555243,OAS1_0015_MR1
224,980941.8768839763,401544.59148520837,391193.881014023,140969.5627979077,94906.72315124425,91463.68932714779,44987.87770158294,10773.286449596057,12945.848338600526,6377.398674180632,8237.830579131729,3901.967800649646,6708.050657287722,2930.9348502594257,849.9539565761096,6873.033648858791,18443.452057729617,129525.02538260566,25318.543706483266,104206.48167612239,47676.65456421414,3562.3978179981737,51239.05238221232,0.6536918041865383,OAS1_0016_MR1
66,1264636.8193900879,521171.6663734973,507453.38207436027,191556.22921345022,125680.33857902954,114937.92212785635,51299.07737914566,13552.615307600985,16950.373134010566,9997.420489234813,10848.403445758351,4662.055761816982,8174.375582373625,3835.08280406678,1278.3609346889266,9219.839528961189,24145.48376641454,159480.24285220267,31175.61140724745,128304.63144495522,22471.986851912992,1688.9319137129796,24160.91876562597,0.8289130741053818,OAS1_0017_MR1
414,1214440.4869546029,466712.18715581566,526867.8670824801,162732.9116860248,122263.02975361882,102145.05178144021,44512.82272585336,11687.724402877697,17113.641125669255,7453.732619191056,9746.687502044686,4767.013756454709,7785.413602245575,3607.6738156850365,1185.407939437867,9333.029523178346,23370.64680600073,145481.3845674001,31580.351386569404,113901.03318083068,17797.58309072687,1530.8089217914355,19328.3920125183,0.8356819168519809,OAS1_0018_MR1
29,943012.2528217894,378620.1876564092,394315.5238545392,137291.57398581505,94471.79917346437,86040.85960419851,30769.156428013113,11627.699405944357,12900.229340931188,7372.441623344188,8901.87854520572,3750.7048083776263,6104.370688129549,2500.126872269275,860.2439560503967,6799.974652591352,18419.099058973803,109737.69939353416,22042.893873835223,87694.80551969893,55131.41618335263,3855.3198030328776,58986.73598638551,0.6128679026426886,OAS1_0019_MR1
125,945117.929714211,375888.19279598596,380921.37453884224,131311.0262913594,90945.4163536262,86543.01157854372,40529.906929339326,10185.041479649313,13440.797313313733,5591.242714345102,8267.671577607161,3561.3688180507447,6278.957679209952,2711.7578614571116,926.0999526858337,6990.339642865663,16373.790163468015,131621.78427548287,23855.9917812046,107765.79249427828,26059.766668614408,1504.7409231232418,27564.507591737653,0.8069135729819954,OAS1_0020_MR1
127,1020506.5818626276,420477.50451793155,423946.6063406962,156137.36502298928,97898.02599841947,93276.44423453469,42454.82283099595,11303.564422504314,13519.687309283267,7273.657628391033,8090.340586666948,3756.5358080797223,5076.399740648274,2798.5368570235987,743.9669619909531,7424.920620663053,19407.282008487837,113709.29619062647,21495.80890178563,92213.48728884084,150539.26230899466,4697.72775999451,155236.99006898917,0.5197757446667624,OAS1_0021_MR1
280,1017573.246012491,402765.32842284127,430323.3190149119,142576.51771580888,93467.15222479148,94921.12915050823,41909.795858841215,10308.178473358283,13990.626285223138,6968.044644004708,9617.719508633621,4374.964776484374,6297.4796782636695,2653.4478644361516,1021.4539478142269,7843.037599301582,19582.554999533193,119995.45686946841,25819.323680898568,94176.13318856986,19592.501999025,1713.2849124687923,21305.786911493793,0.7863619676869892,OAS1_0022_MR1
77,906626.471680728,377297.23672399845,369162.9921395745,136984.24600151635,91294.59033578701,83399.07373916656,37291.644094781186,10464.243465384969,12150.774379220613,5124.419738194947,7494.892617088204,2941.567849716189,4985.161745309595,2493.952872584702,689.0869647947554,6480.641668905979,17863.439087362305,104797.12764594646,21143.547919782533,83653.57972616392,36233.48914884201,2832.8368552712222,39066.32600411323,0.6314266233340047,OAS1_0023_MR1
422,999552.0269331896,435499.1887504782,379757.5755983004,154656.2910986569,106871.59153996273,95747.41610829349,49382.39347706846,9721.64850332392,14348.718266928327,7294.237627339608,10278.680474865325,3836.454803996685,5777.148704847221,2720.3328610190174,1080.1069448176631,7392.678622310286,19119.84802317275,120344.63085162923,22478.50385158004,97866.1270000492,8645.314558313496,1317.8059326736939,9963.120490987189,0.8147230886703984,OAS1_0025_MR1
416,937380.5361095122,364145.2453959296,381466.401510997,120705.12383321175,95155.74113852197,84953.89265973133,37267.29109602538,9881.829495140322,13518.315309353362,6277.585679280048,9239.73352794481,4064.2067923609047,6252.546680559282,2873.3108532034184,938.4479520549781,7505.525616544967,16181.367173298848,130545.79333045494,26032.669669998788,104513.12366045614,17452.86810833825,1225.8819373700628,18678.750045708315,0.8361957728585456,OAS1_0026_MR1
35,916873.5961572055,367350.9232321525,377294.835724121,124024.67766361675,80100.09990771013,91315.1703347356,47946.59555042294,8316.720575101263,12451.585363852271,5907.145698205713,8373.315572209842,3529.8128196629314,5455.757721266989,2279.5778835370556,807.7649587315327,6903.560647299176,15647.659200565828,114950.61312720797,22737.125838367123,92213.48728884084,18386.857060621034,1469.7549249106655,19856.6119855317,0.7878309819784538,OAS1_0027_MR1
