,csf,3rd_ventricle,inf_lat_vent,4th_ventricle,frontal,temporal,parietal,occipital,insula,thalamus,caudate,putamen,pallidum,hippocampus,amygdala,accumbens_area,ventraldc,cingulate,cerebellum,total_lateral_ventricle,subject,brain_stem,parietal
2,1736.6089112771763,3656.379813196662,7121.022636189109,1631.3079166569723,148940.88239065537,78488.68599003679,73358.43525213975,43850.48975969175,10926.950441745408,11329.289421190031,6079.6746893912605,9019.527539195067,3476.647822379115,4059.061792623761,1808.9819075796618,885.9689547361143,6795.172652836685,19480.341004755275,96157.64408733507,70700.87138791388,OAS1_0351_MR1_mpr-2,17469.33210749711,73358.43525213975
3,1435.4549266630422,1028.6569474462278,1700.9369130996479,1698.192913239838,150479.58031204378,97514.55201801105,94903.97915138444,46732.37561245708,10719.778452329763,14257.823271572124,6705.306657427913,10362.372470589526,3640.258814020279,6129.7526868327905,2747.42985963464,1018.709947954417,7598.4786117960275,20780.653938322677,125784.26757371984,13372.540316800962,OAS1_0295_MR1_mpr-2,17684.050096527233,94903.97915138444
5,916.8389531589753,821.1419580481058,1068.1019454309949,1860.431904951097,158935.90188001288,106251.79057162817,99685.39890710314,49083.297492349186,9260.999526858337,15001.447233580602,6732.403656043534,9310.734524317391,3877.9578018763095,6984.508643163567,3082.5408425139212,992.6419492862233,7609.797611217744,19475.539005000603,113711.69719050381,11392.401417965659,OAS1_0209_MR1_mpr-2,17075.911127596868,99685.39890710314
9,1000.5309488831766,863.673955875159,1780.8559090166104,1935.2059011309161,170444.58029203798,108023.7284811004,107532.89550617691,54025.24123986677,11525.828411148916,15301.572218247307,6574.966664086943,10110.953483434447,3782.9468067303924,7521.646615721351,3091.80184204078,1006.3619485852726,7633.121610026127,21470.426903082385,122939.76871904443,10680.676454327473,OAS1_0439_MR1_mpr-2,20364.937959561485,107532.89550617691
10,1088.3389443970927,1071.188945273281,2066.9178944017904,1566.480919968964,135647.23206982398,91372.4513318091,97014.11504357823,40717.184919771345,9973.067490479,13161.938327560554,6531.748666294938,9709.300503954775,3863.5518026123077,6760.18665462411,2635.268865364911,902.4329538949735,7385.13262269581,18713.05004395594,130544.07833054254,21581.901897387164,OAS1_0309_MR1_mpr-2,19794.528988703503,97014.11504357823
14,1209.0749382287272,1636.4529163941158,2016.83989696026,2719.3038610715885,167950.62741945323,119403.09589973197,112379.14225858363,56454.024115780994,11889.065392591247,13775.222296228061,6602.406662685042,10146.2824816295,4157.502787594441,7544.970614529735,3547.6488187516957,1215.934937878252,7797.075601649767,23737.313787267827,131819.35226538917,24096.434768920437,OAS1_0433_MR1_mpr-2,20383.802958597676,112379.14225858363
15,1660.119915184976,2078.5798938059825,5631.373712294821,1559.277920336963,136548.293023789,81815.78582005626,97888.76499889261,39474.49598325994,11026.420436663517,11442.822415389666,6828.100651154404,8667.266557191975,4126.289789189103,3876.2428019639283,1613.471917568208,920.9549529486901,6511.511667328839,19201.48201900209,97655.1820108263,47331.93958182553,OAS1_0273_MR1_mpr-2,16336.06016539563,97888.76499889261
21,1301.3419335148344,951.1389514065988,1661.4919151148808,1496.508923543812,155446.22005829966,98373.08097414907,109628.28239912423,58165.25102835493,9870.167495736128,13991.998285153042,6885.03864824546,9551.177512033231,3804.8988056088715,7205.743631860738,2996.7908468948626,1061.9279457464227,7510.327616299635,21083.522922849195,131699.98827148747,14263.997271256696,OAS1_0305_MR1_mpr-2,20259.979964923754,109628.28239912423
25,1124.0109425746211,2077.8938938410297,4098.849790591004,2240.132885552289,133562.8211763159,91430.07532886512,90578.7493723591,39078.674003482374,11119.0304319321,12119.2183808328,8087.253586824661,9754.233501659162,4074.8397918176684,5930.126697031622,2385.5648781222126,903.4619538424022,7686.286607309943,17074.88212764944,116416.93805229387,70391.82840370279,OAS1_0039_MR1_mpr-2,20428.04995633711,90578.7493723591
27,982.00894982946,1039.6329468854674,2009.636897328259,1185.407939437867,125133.59660696244,66160.92361985843,71653.38233925038,34661.17722917095,8830.191548868186,11844.13239488686,5447.182721705083,7479.457617876774,2824.2618557093165,5267.793730870013,1898.1619030234829,846.5239567513472,6229.908681715851,14444.072262056718,89330.57243612809,12608.679355826387,OAS1_0222_MR1_mpr-2,12420.02936546446,71653.38233925038
28,1048.2079464473732,2550.8908696757576,3937.982798809651,1557.5629204245818,119327.97890356966,82030.84680906887,81646.68682869547,34021.139261870296,9942.540492038615,11632.501405699022,6056.0076906004,10416.909467803247,3366.201828021767,4982.7607454322615,2430.154875844123,776.2089603437191,6624.701661545997,17534.502104167594,92634.0052673567,61179.53487435608,OAS1_0380_MR1_mpr-2,16846.44413932027,81646.68682869547
32,1162.7699405944356,1297.5689337075958,3425.5408249901557,2334.457880733253,136097.59104681527,84379.36768908365,86516.25757991058,38985.72100823131,10711.889452732808,12100.010381814132,7657.131608799464,8372.286572262412,3734.5838092012436,4484.3817708942925,1821.3299069488062,754.5999614477164,7180.361633157498,17555.76810308112,114667.2951416826,43903.997756958044,OAS1_0272_MR1_mpr-2,21594.249896756308,86516.25757991058
33,959.3709509860284,1164.827940489293,2739.5408600376863,1453.2909257518065,150883.63429140078,95789.26210615558,104284.3426721445,50808.93040418712,10435.431466856964,12895.42734117652,5877.304699730282,8753.35955279351,3389.182826847675,5733.244707090263,2443.18887517822,795.0739593799121,7149.491634734636,18314.141064336072,114300.97116039798,26208.97166099157,OAS1_0358_MR1_mpr-2,18028.42207893337,104284.3426721445
35,1115.092943030239,1245.4329363712081,1648.4579157807839,3017.713845825913,143579.4496645694,103130.83373107691,92994.8412489217,42736.768816591415,11054.889435209045,13150.619328138839,5851.579701044564,8765.707552162654,3574.0598174023653,6750.582655114775,2885.3158525900863,899.0029540702111,6987.93864298833,18864.656036210432,117555.01199415002,20615.32794676913,OAS1_0116_MR1_mpr-2,17373.63511238624,92994.8412489217
38,1248.8629361959706,1504.054923158289,2203.0888874448556,1875.5239041800514,117544.03599471078,84758.72566970235,87760.3185163519,34350.76224502995,9795.39349955631,11728.884400774845,5196.792734497432,8186.037581777817,3608.0168156675127,5914.691697820192,2357.0958795766846,688.4009648298031,6759.500654659158,16329.200165746104,116767.48403438457,35774.5551722888,OAS1_0220_MR1_mpr-2,19033.069027606263,87760.3185163519
47,1244.0609364413033,2271.00288397515,2466.512873986604,2665.1098638403437,143873.057649569,91304.53733527883,81632.96682939644,38819.70901671281,11419.841416563759,11427.044416195758,5874.217699887995,8580.830561607963,3476.304822396639,6118.433687411074,2889.431852379801,784.0979599406726,6558.159664945608,20200.640967955365,122646.16073404477,40545.34192855075,OAS1_0255_MR1_mpr-2,17819.535089605346,81632.96682939644
52,1124.0109425746211,816.6829582759149,2288.838883063914,2002.090897713782,167597.33743750275,105305.11061999376,115020.58512363312,46842.135606849464,10799.697448246727,14850.870241273533,8059.127588261611,11528.229411026248,4433.617773487809,6731.374656096106,2618.4618662235757,1235.1429368969211,7798.447601579672,23027.303823542017,123752.6786775131,16992.219131872665,OAS1_0087_MR1_mpr-2,18016.76007952918,115020.58512363312
53,1441.2859263651383,2971.408848191621,4709.389759398702,3592.9248164385585,155239.048068884,102024.65878759106,98567.21896423062,40077.489952453165,12930.756339371572,13253.176322899233,8334.899574172503,8767.422552075035,4111.540789942625,7109.01763680244,3209.1078360476517,952.5109513365037,6995.484642602807,21043.734924881952,120695.86283368489,81889.53081628866,OAS1_0212_MR1_mpr-2,20247.288965572134,98567.21896423062
54,1058.4979459216602,1248.176936231018,2109.4498922288435,1612.0999176383032,124388.94364500651,77543.72103831476,77479.5800415917,37358.52909136406,9655.792506688482,11623.926406137118,7855.728598653203,10202.877478738077,4074.496791835192,5247.213731921438,2316.621881644489,680.1689652503735,6400.722672989015,15950.185185109865,83821.99271755977,17309.15111568071,OAS1_0085_MR1_mpr-2,17113.984125651732,77479.5800415917
55,917.867953106404,1046.1499465525158,1808.6389075971856,1886.1569036368146,143802.05665319646,99122.87893584213,97885.33499906785,45931.81365335754,10407.991468258866,13021.994334710249,6727.601656288867,9448.963517255313,3701.6558108835247,6324.233676896815,2766.637858653309,798.5039592046744,7735.678604786521,20182.461968884127,124346.41164717946,21844.63988396396,OAS1_0429_MR1_mpr-2,20440.05495572378,97885.33499906785
56,962.8009508107908,875.335955279351,1692.018913555266,2171.1898890745656,164672.23358694543,115865.05108048962,116399.44505318758,52588.07131329135,12321.588370493779,16651.96314925624,9140.263533026702,11198.949427849064,4469.289771665338,7554.231614056593,3164.5178383257416,1053.0099462020405,8347.9335735066,21778.78388732852,150268.97832280336,18811.834038909095,OAS1_0129_MR1_mpr-2,19871.703984760657,116399.44505318758
57,1220.3939376504431,1678.6419142386926,2022.3278966798798,1447.4599260497105,134256.02414090035,94873.79515292653,83591.15372935326,45852.92365738801,11184.54342858506,12626.858354897628,6620.928661738759,8605.183560363777,3851.5468032256395,6979.363643426424,2567.697868817093,977.5499500572689,7205.743631860739,18224.61806890978,115348.4931068804,22216.794864950672,OAS1_0259_MR1_mpr-2,18537.091052945627,83591.15372935326
68,1062.6139457113752,1388.1209290813217,1371.9999299049389,1885.127903689386,153277.7741690849,97635.28801184268,104676.73465209731,40690.773921120664,12072.227383233556,13890.470290340076,7370.726623431807,8674.469556823977,3772.6568072561054,6093.3946886903095,2889.431852379801,968.2889505304106,7375.528623186475,19603.820998446718,113579.29919726797,38442.40903598895,OAS1_0404_MR1_mpr-2,18575.507050982967,104676.73465209731
69,1125.7259424870024,791.9869595376259,2146.1508903538006,1801.0929079827083,166718.57148239863,111949.02028055844,121117.4098121482,51503.505368701495,11160.876429794202,16155.642174613131,7374.499623239046,11033.280436313042,4443.907772962097,7235.927630318647,3026.631845370295,1079.0779448702342,8071.132587648279,23483.836800217883,137398.24698036513,12467.706363028656,OAS1_0283_MR1_mpr-2,20031.198976612108,121117.4098121482
75,1443.3439262599957,1739.6959111194624,3505.4598209071187,1046.1499465525158,136082.8420475688,93527.86322168977,93870.17720420106,32007.386364752318,11311.45342210127,12392.58936686636,7217.40563126493,8880.955546274668,3779.173806923154,5640.977711804156,2309.075882030012,887.3409546660191,6824.670651329641,19755.76999068369,71003.74037244038,51507.278368508734,OAS1_0304_MR1_mpr-2,18438.30705799247,93870.17720420106
77,934.3319522652633,889.3989545608766,2054.912895015122,1337.0139316923628,162845.75868025946,110798.25533935067,110466.91735627863,43789.77876279346,11058.662435016282,15006.592233317744,7085.35063801158,10437.489466751822,3859.778802805069,7067.514638922816,2682.602862946632,1255.379935863019,7605.681611428028,20783.397938182487,145056.40758911203,11110.455432370194,OAS1_0328_MR1_mpr-2,19599.018998692052,110466.91735627863
85,831.7749575048691,946.3369516519315,2697.694862175586,1755.4739103133693,161250.12276178005,103567.47270876917,106077.88958051274,54278.37522693424,9922.303493072517,13922.02628872789,6700.847657655721,8861.404547273523,3770.598807361248,6577.367663964276,2927.5048504346632,894.5439542980201,7491.462617263442,17907.000085136788,120985.01181891235,23679.00379024686,OAS1_0235_MR1_mpr-2,20194.123968288317,106077.88958051274
86,891.7999544382102,900.7179539825923,2337.8878805580157,1141.8469416633852,162944.1996752302,96495.49907007415,101290.98182507438,54242.70322875671,10471.446465016968,15710.771197341455,7797.075601649767,10847.031445828445,4427.100773820761,6094.080688655262,2566.668868869664,835.5479573121077,8071.132587648279,21690.28989184965,124753.89562636122,15498.797208171141,OAS1_0372_MR1_mpr-2,20777.56693848039,101290.98182507438
